epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.741,1.76678,2.09138,1.71388,0.61574,0.59118,0.61264,0.30849,1.56283,3.49744,1.47345,0.00054889,0.00054889,0.00054889
2,260.45,1.63484,1.67463,1.65724,0.23884,0.47231,0.21068,0.08506,1.85662,4.52066,1.85113,0.00109909,0.00109909,0.00109909
3,283.291,1.64686,1.68807,1.66602,0.41075,0.53556,0.39618,0.17931,1.73407,2.01133,1.73661,0.00164379,0.00164379,0.00164379
4,307.831,1.58892,1.59808,1.63489,0.53214,0.45231,0.43591,0.21523,1.73581,2.14951,1.71097,0.00164225,0.00164225,0.00164225
5,331.91,1.55987,1.56729,1.60798,0.74856,0.56379,0.68825,0.3674,1.62026,1.50359,1.68741,0.00163399,0.00163399,0.00163399
6,356.371,1.52224,1.51545,1.59225,0.80756,0.67896,0.77931,0.44902,1.40887,1.1509,1.43036,0.00162574,0.00162574,0.00162574
7,383.957,1.51712,1.48172,1.57556,0.73564,0.67464,0.73212,0.4188,1.47161,1.14666,1.44148,0.00161749,0.00161749,0.00161749
8,407.712,1.48912,1.43932,1.55356,0.63017,0.6785,0.72829,0.40485,1.45771,1.23615,1.44931,0.00160924,0.00160924,0.00160924
9,431.533,1.47349,1.42714,1.53821,0.8018,0.63067,0.72902,0.41601,1.37975,1.2161,1.40605,0.00160099,0.00160099,0.00160099
10,454.257,1.46521,1.41173,1.53595,0.79461,0.72682,0.81938,0.50411,1.33043,1.01282,1.34206,0.00159274,0.00159274,0.00159274
11,479.961,1.47243,1.375,1.52249,0.8576,0.69738,0.80725,0.49433,1.307,1.00679,1.33897,0.00158448,0.00158448,0.00158448
12,503.936,1.43729,1.37383,1.53211,0.8026,0.73115,0.81501,0.47992,1.34725,0.99428,1.33242,0.00157623,0.00157623,0.00157623
13,529.437,1.39491,1.29543,1.48807,0.77072,0.72634,0.8071,0.51101,1.24991,0.98122,1.30936,0.00156798,0.00156798,0.00156798
14,554.282,1.41698,1.31104,1.49547,0.69383,0.64557,0.71599,0.4169,1.37686,1.18385,1.44634,0.00155973,0.00155973,0.00155973
15,577.912,1.41746,1.30672,1.50552,0.82322,0.70847,0.81446,0.50339,1.28364,1.03448,1.32103,0.00155148,0.00155148,0.00155148
16,602.07,1.39909,1.31762,1.49382,0.84927,0.66426,0.81927,0.51397,1.25722,1.06691,1.33043,0.00154323,0.00154323,0.00154323
17,627.273,1.39348,1.28677,1.49178,0.79396,0.73655,0.82555,0.52657,1.24559,0.93588,1.32002,0.00153497,0.00153497,0.00153497
